* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Jul 27, 2023 3:43:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A over B A = MRS 10dB B = Crin BETA 
* Measurement: MRS ∆
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	1.407
20.299999	1.392
20.600000	1.368
20.900000	1.342
21.200001	1.316
21.400000	1.299
21.799999	1.266
22.000000	1.251
22.400000	1.223
22.700001	1.202
23.000000	1.183
23.299999	1.164
23.600000	1.147
24.000000	1.125
24.299999	1.110
24.700001	1.091
25.000000	1.078
25.400000	1.061
25.799999	1.046
26.200001	1.031
26.500000	1.021
26.900000	1.009
27.200001	1.000
27.600000	0.990
28.000000	0.980
28.500000	0.969
29.000000	0.960
29.500000	0.951
30.000000	0.943
30.400000	0.938
30.700001	0.935
31.100000	0.930
31.500000	0.927
32.000000	0.923
32.500000	0.920
33.000000	0.917
33.500000	0.915
34.000000	0.914
34.500000	0.912
35.000000	0.911
35.500000	0.909
36.000000	0.909
36.500000	0.908
37.000000	0.908
37.500000	0.907
38.200001	0.905
38.700001	0.905
39.500000	0.904
40.000000	0.903
40.599998	0.902
41.200001	0.900
41.799999	0.899
42.500000	0.897
43.099998	0.894
43.700001	0.892
44.400002	0.889
45.000000	0.886
45.500000	0.884
46.200001	0.881
46.799999	0.877
47.500000	0.873
48.200001	0.869
48.700001	0.866
49.400002	0.861
50.000000	0.857
50.799999	0.851
51.500000	0.846
52.200001	0.841
53.000000	0.835
53.799999	0.829
54.500000	0.824
55.200001	0.819
56.000000	0.812
57.000000	0.804
58.000000	0.797
59.000000	0.788
60.000000	0.781
60.799999	0.774
61.500000	0.770
62.200001	0.765
63.000000	0.760
64.000000	0.753
65.000000	0.746
66.000000	0.739
67.000000	0.732
68.000000	0.727
69.000000	0.721
70.000000	0.715
71.000000	0.710
72.000000	0.705
73.000000	0.700
74.000000	0.695
75.000000	0.691
76.199997	0.686
77.500000	0.682
78.800003	0.678
80.000000	0.675
81.199997	0.672
82.500000	0.669
83.800003	0.667
85.000000	0.664
86.199997	0.663
87.500000	0.661
88.500000	0.660
90.000000	0.659
91.199997	0.659
92.500000	0.658
